infer_mode;features;train_using_all_batches;train_batch;infer_batch;dk_cells;training_cells;precision;recall;repairing_recall;f1;repairing_f1;detected_errors;total_errors;correct_repairs;total_repairs;total_repairs_grdt;total_repairs_grdt_correct;total_repairs_grdt_incorrect;rmse
dk;incremental;True;1;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;4;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;6;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;7;3;10;0;0;0;0;0;3;3;0;0;0;0;0;0
dk;incremental;True;1;8;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;9;1;10;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;11;1;10;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;12;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;13;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;14;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;15;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;16;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;17;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;18;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;19;1;10;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;20;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;21;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;22;1;10;0;0;0;0;0;1;1;0;0;0;0;0;0
dk;incremental;True;1;23;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;24;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;25;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;26;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;27;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;28;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;29;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;30;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;31;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;32;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;33;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;34;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;35;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;36;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;37;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;38;2;10;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;39;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;40;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;41;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;42;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;43;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;44;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;45;2;10;1.0;1.0;1.0;1.0;1.0;2;2;2;2;2;0;2;0
dk;incremental;True;1;46;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;47;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;48;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
dk;incremental;True;1;49;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;50;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;51;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;52;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;53;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;54;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;55;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;56;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;57;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;58;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
dk;incremental;True;1;59;1;10;1.0;1.0;1.0;1.0;1.0;1;1;1;1;1;0;1;0
